ligand_name,target_name,best_affinity,all_affinities,docked_pdbqt,success,error,runtime_seconds,run_label,seed,is_active
decoy_047,VKORC1_Human,-6.488,"[-6.488, -6.237, -6.175, -6.155, -6.12, -6.092, -6.041, -6.02, -5.981]",decoy_047_VKORC1_Human_docked.pdbqt,True,,14.89165186882019,enrichment_seed42,42,0
decoy_015,VKORC1_Human,-6.418,"[-6.418, -6.337, -6.263, -6.173, -6.094, -6.047, -5.848, -5.706, -5.696]",decoy_015_VKORC1_Human_docked.pdbqt,True,,13.796293020248411,enrichment_seed42,42,0
decoy_023,VKORC1_Human,-6.41,"[-6.41, -6.365, -6.201, -6.029, -5.969, -5.885, -5.662, -5.571, -5.531]",decoy_023_VKORC1_Human_docked.pdbqt,True,,10.46898603439331,enrichment_seed42,42,0
decoy_026,VKORC1_Human,-6.277,"[-6.277, -6.23, -6.223, -5.76, -5.709, -5.614, -5.534, -5.523, -5.431]",decoy_026_VKORC1_Human_docked.pdbqt,True,,10.675955057144163,enrichment_seed42,42,0
decoy_010,VKORC1_Human,-6.191,"[-6.191, -6.073, -6.017, -5.823, -5.792, -5.661, -5.608, -5.496, -5.48]",decoy_010_VKORC1_Human_docked.pdbqt,True,,11.416922569274902,enrichment_seed42,42,0
decoy_036,VKORC1_Human,-6.172,"[-6.172, -5.622, -5.47, -5.438, -5.435, -5.292, -5.156, -5.123, -4.874]",decoy_036_VKORC1_Human_docked.pdbqt,True,,9.474441051483154,enrichment_seed42,42,0
decoy_046,VKORC1_Human,-5.874,"[-5.874, -5.81, -5.809, -5.714, -5.697, -5.692, -5.613, -5.6, -5.334]",decoy_046_VKORC1_Human_docked.pdbqt,True,,9.372522830963137,enrichment_seed42,42,0
decoy_031,VKORC1_Human,-5.603,"[-5.603, -5.594, -5.49, -5.481, -5.326, -5.299, -5.133, -5.116, -5.072]",decoy_031_VKORC1_Human_docked.pdbqt,True,,9.338908433914185,enrichment_seed42,42,0
decoy_013,VKORC1_Human,-5.481,"[-5.481, -5.23, -5.22, -5.212, -4.989, -4.843, -4.579, -4.545, -4.528]",decoy_013_VKORC1_Human_docked.pdbqt,True,,12.528382301330566,enrichment_seed42,42,0
decoy_038,VKORC1_Human,-5.308,"[-5.308, -5.295, -4.844, -4.787, -4.694, -4.388, -4.342, -4.207, -4.191]",decoy_038_VKORC1_Human_docked.pdbqt,True,,7.211020708084106,enrichment_seed42,42,0
decoy_037,VKORC1_Human,-5.23,"[-5.23, -5.214, -4.877, -4.623, -4.6, -4.495, -4.304, -4.216, -4.08]",decoy_037_VKORC1_Human_docked.pdbqt,True,,6.156890153884888,enrichment_seed42,42,0
decoy_040,VKORC1_Human,-4.486,"[-4.486, -4.382, -4.284, -4.246, -4.243, -4.21, -4.19, -4.184, -4.007]",decoy_040_VKORC1_Human_docked.pdbqt,True,,7.97836709022522,enrichment_seed42,42,0
