ligand_name,target_name,best_affinity,all_affinities,docked_pdbqt,success,error,runtime_seconds
RL_Gen_14,VKORC1_Human,-9.657,"[np.float64(-9.657), np.float64(-9.248), np.float64(-9.017), np.float64(-8.937), np.float64(-8.892), np.float64(-8.715), np.float64(-8.471), np.float64(-8.303), np.float64(-8.195), np.float64(-7.601), np.float64(-7.589), np.float64(-7.458), np.float64(-7.219), np.float64(-7.097), np.float64(-7.073), np.float64(-7.054), np.float64(-7.049)]",results/docked_poses/VKORC1_Human/RL_Gen_14_VKORC1_Human_docked.pdbqt,True,,9.724585056304932
RL_Gen_18,VKORC1_Human,-9.554,"[np.float64(-9.554), np.float64(-9.548), np.float64(-9.222), np.float64(-8.828), np.float64(-8.455), np.float64(-8.16), np.float64(-8.033), np.float64(-7.728), np.float64(-7.702), np.float64(-7.563), np.float64(-7.484), np.float64(-7.452), np.float64(-7.178), np.float64(-6.793), np.float64(-6.598), np.float64(-6.571)]",results/docked_poses/VKORC1_Human/RL_Gen_18_VKORC1_Human_docked.pdbqt,True,,13.09689736366272
RL_Gen_46,VKORC1_Human,-9.534,"[np.float64(-9.534), np.float64(-9.512), np.float64(-9.413), np.float64(-9.4), np.float64(-8.865), np.float64(-8.567), np.float64(-8.465), np.float64(-8.316), np.float64(-8.217), np.float64(-8.146), np.float64(-7.944), np.float64(-7.899), np.float64(-7.847), np.float64(-7.749), np.float64(-7.57), np.float64(-7.515), np.float64(-7.45), np.float64(-7.217), np.float64(-6.987), np.float64(-6.985)]",results/docked_poses/VKORC1_Human/RL_Gen_46_VKORC1_Human_docked.pdbqt,True,,36.73644733428955
RL_Gen_31,VKORC1_Human,-9.318,"[np.float64(-9.318), np.float64(-9.198), np.float64(-9.182), np.float64(-8.925), np.float64(-8.919), np.float64(-8.861), np.float64(-8.859), np.float64(-8.835), np.float64(-8.694), np.float64(-8.408), np.float64(-8.384), np.float64(-8.17), np.float64(-8.169), np.float64(-8.102), np.float64(-8.016), np.float64(-7.897), np.float64(-7.836), np.float64(-7.799), np.float64(-7.402), np.float64(-7.368)]",results/docked_poses/VKORC1_Human/RL_Gen_31_VKORC1_Human_docked.pdbqt,True,,15.175451040267944
RL_Gen_13,VKORC1_Human,-9.202,"[np.float64(-9.202), np.float64(-9.144), np.float64(-9.061), np.float64(-9.042), np.float64(-9.001), np.float64(-8.994), np.float64(-8.851), np.float64(-8.756), np.float64(-8.755), np.float64(-8.475), np.float64(-7.986), np.float64(-7.691), np.float64(-7.647), np.float64(-7.52), np.float64(-7.506), np.float64(-7.441), np.float64(-7.267), np.float64(-7.049), np.float64(-6.95), np.float64(-6.807)]",results/docked_poses/VKORC1_Human/RL_Gen_13_VKORC1_Human_docked.pdbqt,True,,10.379685640335085
RL_Gen_24,VKORC1_Human,-9.113,"[np.float64(-9.113), np.float64(-9.088), np.float64(-8.719), np.float64(-8.63), np.float64(-8.492), np.float64(-8.383), np.float64(-8.313), np.float64(-8.048), np.float64(-8.019), np.float64(-8.006), np.float64(-7.98), np.float64(-7.855), np.float64(-7.844), np.float64(-7.521), np.float64(-7.482), np.float64(-7.428), np.float64(-7.321), np.float64(-7.296), np.float64(-7.29), np.float64(-7.233)]",results/docked_poses/VKORC1_Human/RL_Gen_24_VKORC1_Human_docked.pdbqt,True,,8.669312477111816
RL_Gen_23,VKORC1_Human,-9.032,"[np.float64(-9.032), np.float64(-8.929), np.float64(-8.716), np.float64(-8.464), np.float64(-8.463), np.float64(-8.359), np.float64(-8.358), np.float64(-8.348), np.float64(-8.175), np.float64(-8.163), np.float64(-8.103), np.float64(-7.949), np.float64(-7.784), np.float64(-7.762), np.float64(-7.636), np.float64(-7.575), np.float64(-7.552), np.float64(-7.477), np.float64(-7.358), np.float64(-7.332)]",results/docked_poses/VKORC1_Human/RL_Gen_23_VKORC1_Human_docked.pdbqt,True,,14.691379070281982
RL_Gen_25,VKORC1_Human,-9.029,"[np.float64(-9.029), np.float64(-8.664), np.float64(-8.545), np.float64(-8.481), np.float64(-8.479), np.float64(-8.284), np.float64(-8.258), np.float64(-8.192), np.float64(-8.098), np.float64(-8.085), np.float64(-8.02), np.float64(-7.96), np.float64(-7.766), np.float64(-7.743), np.float64(-7.677), np.float64(-7.51), np.float64(-7.467), np.float64(-7.36), np.float64(-7.318), np.float64(-7.285)]",results/docked_poses/VKORC1_Human/RL_Gen_25_VKORC1_Human_docked.pdbqt,True,,6.146874904632568
RL_Gen_15,VKORC1_Human,-9.024,"[np.float64(-9.024), np.float64(-8.749), np.float64(-8.668), np.float64(-8.511), np.float64(-7.959), np.float64(-7.753), np.float64(-7.565), np.float64(-7.561), np.float64(-7.284), np.float64(-7.211), np.float64(-7.139), np.float64(-7.028), np.float64(-6.406)]",results/docked_poses/VKORC1_Human/RL_Gen_15_VKORC1_Human_docked.pdbqt,True,,13.496968507766724
RL_Gen_34,VKORC1_Human,-8.921,"[np.float64(-8.921), np.float64(-8.819), np.float64(-8.687), np.float64(-8.637), np.float64(-8.423), np.float64(-8.368), np.float64(-8.251), np.float64(-8.092), np.float64(-8.058), np.float64(-7.934), np.float64(-7.805), np.float64(-7.794), np.float64(-7.701), np.float64(-7.496), np.float64(-7.355), np.float64(-7.242), np.float64(-7.209), np.float64(-7.122), np.float64(-7.05), np.float64(-6.947)]",results/docked_poses/VKORC1_Human/RL_Gen_34_VKORC1_Human_docked.pdbqt,True,,12.411978721618652
RL_Gen_43,VKORC1_Human,-8.884,"[np.float64(-8.884), np.float64(-8.783), np.float64(-8.741), np.float64(-8.694), np.float64(-8.643), np.float64(-8.618), np.float64(-8.438), np.float64(-8.399), np.float64(-8.3), np.float64(-8.225), np.float64(-8.214), np.float64(-8.068), np.float64(-8.051), np.float64(-7.958), np.float64(-7.761), np.float64(-7.663), np.float64(-7.413), np.float64(-7.412), np.float64(-7.356), np.float64(-7.324)]",results/docked_poses/VKORC1_Human/RL_Gen_43_VKORC1_Human_docked.pdbqt,True,,63.95567679405213
RL_Gen_35,VKORC1_Human,-8.876,"[np.float64(-8.876), np.float64(-8.566), np.float64(-8.551), np.float64(-8.456), np.float64(-8.394), np.float64(-8.311), np.float64(-8.082), np.float64(-7.828), np.float64(-7.799), np.float64(-7.692), np.float64(-7.671), np.float64(-7.656), np.float64(-7.639), np.float64(-7.599), np.float64(-7.552), np.float64(-7.528), np.float64(-7.485), np.float64(-7.473), np.float64(-7.429), np.float64(-7.358)]",results/docked_poses/VKORC1_Human/RL_Gen_35_VKORC1_Human_docked.pdbqt,True,,13.7046058177948
RL_Gen_48,VKORC1_Human,-8.833,"[np.float64(-8.833), np.float64(-8.3), np.float64(-8.272), np.float64(-7.769), np.float64(-7.317), np.float64(-7.266), np.float64(-7.135), np.float64(-6.924), np.float64(-6.843), np.float64(-6.72), np.float64(-6.539), np.float64(-6.043), np.float64(-5.87)]",results/docked_poses/VKORC1_Human/RL_Gen_48_VKORC1_Human_docked.pdbqt,True,,30.42763376235962
RL_Gen_20,VKORC1_Human,-8.764,"[np.float64(-8.764), np.float64(-8.486), np.float64(-8.336), np.float64(-8.329), np.float64(-8.296), np.float64(-8.245), np.float64(-8.132), np.float64(-8.049), np.float64(-8.027), np.float64(-7.87)]",results/docked_poses/VKORC1_Human/RL_Gen_20_VKORC1_Human_docked.pdbqt,True,,25.97869038581848
RL_Gen_11,VKORC1_Human,-8.641,"[np.float64(-8.641), np.float64(-8.607), np.float64(-8.344), np.float64(-8.333), np.float64(-8.321), np.float64(-7.716), np.float64(-7.714), np.float64(-7.664), np.float64(-7.583), np.float64(-7.38), np.float64(-7.182), np.float64(-7.148), np.float64(-7.082), np.float64(-6.97), np.float64(-6.953), np.float64(-6.772), np.float64(-6.527), np.float64(-6.469), np.float64(-6.454), np.float64(-6.256)]",results/docked_poses/VKORC1_Human/RL_Gen_11_VKORC1_Human_docked.pdbqt,True,,11.166956663131714
RL_Gen_08,VKORC1_Human,-8.519,"[np.float64(-8.519), np.float64(-8.079), np.float64(-7.903), np.float64(-7.751), np.float64(-7.678), np.float64(-7.49), np.float64(-7.398), np.float64(-7.36), np.float64(-7.228), np.float64(-6.802), np.float64(-6.792), np.float64(-6.667), np.float64(-6.648), np.float64(-6.436), np.float64(-6.319), np.float64(-6.28), np.float64(-6.182), np.float64(-6.166), np.float64(-6.032), np.float64(-5.792)]",results/docked_poses/VKORC1_Human/RL_Gen_08_VKORC1_Human_docked.pdbqt,True,,8.881060600280762
RL_Gen_40,VKORC1_Human,-8.377,"[np.float64(-8.377), np.float64(-7.875), np.float64(-7.871), np.float64(-7.753), np.float64(-7.637), np.float64(-7.626), np.float64(-7.284), np.float64(-7.106), np.float64(-6.995), np.float64(-6.88), np.float64(-6.88), np.float64(-6.866), np.float64(-6.846), np.float64(-6.816), np.float64(-6.795), np.float64(-6.652), np.float64(-6.58), np.float64(-6.469), np.float64(-6.467), np.float64(-6.421)]",results/docked_poses/VKORC1_Human/RL_Gen_40_VKORC1_Human_docked.pdbqt,True,,16.917076587677002
RL_Gen_36,VKORC1_Human,-8.334,"[np.float64(-8.334), np.float64(-7.925), np.float64(-7.843), np.float64(-7.842), np.float64(-7.769), np.float64(-7.53), np.float64(-7.486), np.float64(-7.467), np.float64(-7.42), np.float64(-6.954), np.float64(-6.908), np.float64(-6.887), np.float64(-6.857), np.float64(-6.854), np.float64(-6.818), np.float64(-6.809), np.float64(-6.641), np.float64(-6.634), np.float64(-6.536), np.float64(-6.245)]",results/docked_poses/VKORC1_Human/RL_Gen_36_VKORC1_Human_docked.pdbqt,True,,20.65762090682984
RL_Gen_21,VKORC1_Human,-8.307,"[np.float64(-8.307), np.float64(-8.28), np.float64(-8.204), np.float64(-8.157), np.float64(-8.103), np.float64(-8.051), np.float64(-7.974), np.float64(-7.883), np.float64(-7.856), np.float64(-7.825), np.float64(-7.775), np.float64(-7.74), np.float64(-7.726), np.float64(-7.651), np.float64(-7.381), np.float64(-7.228), np.float64(-7.149), np.float64(-7.122), np.float64(-7.086), np.float64(-7.036)]",results/docked_poses/VKORC1_Human/RL_Gen_21_VKORC1_Human_docked.pdbqt,True,,17.883971452713013
RL_Gen_28,VKORC1_Human,-8.102,"[np.float64(-8.102), np.float64(-7.858), np.float64(-7.857), np.float64(-7.708), np.float64(-7.598), np.float64(-7.5), np.float64(-7.256), np.float64(-7.222), np.float64(-7.14), np.float64(-7.092), np.float64(-7.002), np.float64(-6.982), np.float64(-6.871), np.float64(-6.843), np.float64(-6.808), np.float64(-6.807), np.float64(-6.761), np.float64(-6.706), np.float64(-6.693), np.float64(-6.494)]",results/docked_poses/VKORC1_Human/RL_Gen_28_VKORC1_Human_docked.pdbqt,True,,13.610492706298828
RL_Gen_03,VKORC1_Human,-7.504,"[np.float64(-7.504), np.float64(-7.499), np.float64(-7.427), np.float64(-7.281), np.float64(-7.244), np.float64(-7.092), np.float64(-6.875), np.float64(-6.517), np.float64(-6.38), np.float64(-6.35), np.float64(-6.336), np.float64(-6.3), np.float64(-6.223), np.float64(-6.209), np.float64(-6.18), np.float64(-6.139), np.float64(-6.132), np.float64(-6.056), np.float64(-5.885), np.float64(-5.829)]",results/docked_poses/VKORC1_Human/RL_Gen_03_VKORC1_Human_docked.pdbqt,True,,11.209702968597412
