canonical_smiles,is_coumarin,Factor_XIIa_pIC50,Factor_Xa_pIC50,Thrombin_pIC50,VKORC1_pIC50
C/C(=N\Nc1ccc(Cl)c(C(=O)O)c1)c1cccc([N+](=O)[O-])c1,False,,,4.301029995663981,
C/C(Cc1ccc(Br)cc1)=C(\F)C(=O)Nc1ccc(-c2ccccc2S(N)(=O)=O)cc1,False,,5.7447274948966935,,
C/C(Cc1ccccc1)=N\NC(=O)CNC(=O)c1ccc(Cl)cc1Cl,False,4.301029995663981,,,
C/C=C1\NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](COS(=O)(=O)[O-])OC)C(C)C)[C@@H](C)OC(=O)[C@H]([C@H](C)CC)NC(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)N2C(=O)[C@H](CC[C@H]2O)NC1=O.[Na+],False,,5.0,,
C/C=C\Cc1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,False,,8.119186407719209,8.311580177997289,
C/N=C(/N)CCCC[C@H]1C(=O)O[C@H]2Cc3ccc(-c4ccc(O)cc4)cc3[C@@H]21,False,,,5.795880017344075,
C/N=C(/N)N(C)Cc1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,False,,9.154901959985743,4.958607314841775,
C/N=C(/N)c1cccc(C2Oc3ccccc3N(CCCCCN3C(C)CCCC3C)C2=O)c1,False,,5.552841968657781,,
C/N=C(/NC)N(C)Cc1ccc(C(=O)Nc2ccc(Cl)cc2C(=O)Nc2ccc(Cl)cn2)cc1,False,,9.096910013008056,4.958607314841775,
C/N=C(\N(C)C)N(C)CCCC[C@H](NC(=O)OC(C)(C)C)C(=O)NCC(=O)NC(C=O)CCCN=C(N)N,False,,5.522878745280337,4.0,
C/N=C(\N)c1ccc(C(=O)N2CCN(S(=O)(=O)c3ccc4cc(Br)ccc4c3)CC2)cc1,False,,6.638272163982407,,
C/N=C(\N)c1ccc(NC(=O)c2cc(C)nn2-c2cc3ccccc3cc2F)c(F)c1,False,,6.943095148663527,,
C/N=C(\N)c1cccc(/C(C)=C(/F)C(=O)Nc2ccc(-c3ccccc3S(N)(=O)=O)cc2)c1,False,,6.050609993355087,,
C=C(C)/C=C\c1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,False,,9.508638306165727,,
C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@H](C(N)=O)N(C(=O)CC)C3)c1,False,4.301029995663981,,,
C=C(C)CN(CC)C(=O)CC1C(=O)NCCN1CC(C)(C)C,False,,,4.301029995663981,
C=C(C)C[C@]1(N)C[C@H](OC)[C@@H]2[C@H](CC)CC(C(=O)NCc3ccc(C(=N)N)cc3)N2C1=O.O=C(O)/C=C/C(=O)O,False,,,6.42021640338319,
C=C(C)c1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,False,,8.931814138253838,7.747146969020107,
C=C(CCC(=O)c1ccccc1)C(=O)c1ccccc1,False,,,4.301029995663981,
C=C(CCO)c1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,False,,7.948076083953893,7.250109158728578,
C=C(CO)c1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,False,,8.148741651280925,7.401209493236885,
C=C1CCN(C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)[C@@H]1C(=O)NCc1ccc(C(=N)N)nc1,False,,,7.249491605148654,
C=C1C[C@@H](C(=O)NCc2ccc(C(=N)N)nc2)N(C(=O)[C@@H](CC2CCCCC2)NCC(=O)O)C1,False,,,7.496209316942819,
C=C=Cc1ccc(-c2ccc(C(=O)NCC(C)C)cc2C(=O)O)c(C(=O)Nc2ccc(C(=N)N)cc2)c1,False,,8.823908740944319,7.553462832926356,
C=CCC1(CC=C)CCCN1C(=O)CC1C(=O)NCCN1Cc1cccc(OC)c1OC,False,4.301029995663981,,,
C=CCN(C(=O)Nc1ccc2c(c1)nc(C)n2C)c1ccccc1,False,4.301029995663981,,4.301029995663981,
C=CCN(CC(=O)O)C(=O)/C(C)=C/c1ccc(C(=O)Oc2ccc(C(=N)N)cc2)cc1.CS(=O)(=O)O,False,,,4.455931955649724,
C=CCN(CC(=O)OCC)C(=O)/C(C)=C/c1ccc(C(=O)Oc2ccc(C(=N)N)cc2)cc1.CS(=O)(=O)O,False,,,5.436518914605589,
C=CCN1C(=O)C(C(C)CC)NC1=S,False,,,4.301029995663981,
C=CCNC(=O)/C(C#N)=C\c1cc(Cl)c(O)c(OCC)c1,False,,,4.301029995663981,
C=CCNC(=O)C(C#N)c1nc2ccccc2nc1N1CCN(Cc2ccccc2)CC1,False,,,4.301029995663981,
C=CCNC(=O)CN(c1ccc(F)cc1)S(=O)(=O)c1ccc(OC)cc1,False,4.301029995663981,,,
C=CCNC(=S)N/N=C/c1ccc(C)c([N+](=O)[O-])c1,False,4.301029995663981,,,
C=CCNc1nc(Cl)c(-c2ccccc2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O,False,,,5.060480747381382,
C=CCNc1ncnc2c1[nH]c1ccc(C)cc12,False,4.301029995663981,,,
C=CCOC(=O)C1=C(C)N=C(C)/C(=C(/O)OCC=C)C1c1ccc(O)cc1,False,4.301029995663981,,,
C=CCOC(=O)C1=C(C)N=C2SCCC(=O)N2C1c1cccs1,False,4.301029995663981,,,
C=CCOC(=O)c1c(C)oc2cc(OC)c(OS(=O)(=O)[O-])cc12.[Na+],False,,,2.5228787452803374,
C=CCOc1ccc(C(=O)C2=C(O)C(=O)N(CCCOC)C2c2ccncc2)cc1,False,,,4.301029995663981,
C=CCSc1nc(C)c(CC=C)c(O)n1,False,4.301029995663981,,,
C=CCSc1nnc(Cc2cc(O)nc(O)n2)n1-c1cc(C)ccc1C,False,4.301029995663981,,,
C=CC[C@@H]1C(=O)O[C@H]2CCC[C@@H]21,False,,,7.008773924307505,
C=CC[C@@H]1C(=O)O[C@H]2CCN(C(=O)OCc3ccccc3)C21,False,,,4.350859935855781,
C=CC[C@H]1C(=O)N(S(=O)(=O)c2cccc3ccccc23)[C@H]2CCN(C(=O)OCc3ccccc3)C12,False,,,4.0,
C=CC[C@H]1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,False,,,4.274333339685821,
C=CC[C@H]1C(=O)N[C@H]2CCN(C(=O)OCc3ccccc3)[C@@H]21,False,,,4.0,
C=CC[C@H]1C(=O)O[C@H]2CCC[C@@H]21,False,,,7.301029995663981,
